17,2,0,0,"8D","Jän","BK","Z1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 3 Jän",,,,0,
17,2,0,2,"8A","Vol","BK","Z3",,0,2.80000,,,,"20250904","20260708",0.01120,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 4 Vol",,,,0,
17,2,0,0,"8B","Vol","BK","Z3",,0,2.80000,,,,"20250904","20260708",0.01120,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 4 Vol",,,,0,
17,2,0,0,"8C","Vol","BK","Z3",,0,2.80000,,,,"20250904","20260708",0.01120,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 4 Vol",,,,0,
17,2,0,0,"8D","Vol","BK","Z3",,0,2.80000,,,,"20250904","20260708",0.01120,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 4 Vol",,,,0,
18,4,4,4,"11","Bre","E","33",,0,7.20000,,,,"20250904","20260708",0.02880,,,"33",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 E 3 Bre",,,,0,
18,4,0,4,"11","Neh","E","61",,0,7.20000,,,,"20250904","20260708",0.02880,,,"61",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 E 1 Neh",,,,0,
18,4,0,4,"11","Schä","E","64",,0,7.20000,,,,"20250904","20260708",0.02880,,,"64",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 E 4 Schä",,,,0,
18,4,0,4,"11","Frej","E","63",,0,7.20000,,,,"20250904","20260708",0.02880,,,"63",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 E 2 Frej",,,,0,
19,4,4,4,"11","Born","Bio","Bio2",,0,7.20000,,,,"20250904","20260708",0.02880,,,"Bio2",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 Bio 1 Born",,,,0,
19,4,0,4,"11","MaaS","Bio","Bio3",,0,7.20000,,,,"20250904","20260708",0.02880,,,"Bio3",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 Bio 2 MaaS",,,,0,
19,4,0,4,"11","Pam","Bio","Bio1",,0,7.20000,,,,"20250904","20260708",0.02880,,,"Bio1",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 Bio 3 Pam",,,,0,
19,4,0,4,"11","My","Phy","Phy2",,0,7.20000,,,,"20250904","20260708",0.02880,,,"Phy2",,,,"Bn",,,,,,,,,,0,0,,,,,400000,4.00000,"11 Phy 1 My",,,,0,
20,2,2,2,"11","Tur","Sem","23",,0,3.80000,,,,"20250904","20260708",0.01520,,,"23",,,,"Bn",,,,,,,,,,0,0,,,,,200000,2.00000,"11 Sem 1 Tur",,,,0,
20,2,0,2,"11","Thom","Sem","54",,0,3.80000,,,,"20250904","20260708",0.01520,,,"54",,,,"Bn",,,,,,,,,,0,0,,,,,200000,2.00000,"11 Sem 5 Thom",,,,0,
20,2,0,2,"11","Las","Sem","31",,0,3.80000,,,,"20250904","20260708",0.01520,,,"31",,,,"Bn",,,,,,,,,,0,0,,,,,200000,2.00000,"11 Sem 2 Las",,,,0,
20,2,0,2,"11","Her","Sem","Ch1",,0,3.80000,,,,"20250904","20260708",0.01520,,,"Ch1",,,,"Bn",,,,,,,,,,0,0,,,,,200000,2.00000,"11 Sem 3 Herb",,,,0,
20,2,0,2,"11","Fle","Sem",,,0,3.80000,,,,"20250904","20260708",0.01520,,,,,,,"Bn",,,,,,,,,,0,0,,,,,200000,2.00000,"11 Sem 4 Fle",,,,0,
22,5,5,5,"5A","Deg","Ma","13",,0,7.25000,,,,"20250904","20260708",0.02880,,,"13",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"Ma_5A_Deg",,,,0,
23,2,2,2,"5A","Möh","Geo","24",,0,2.80000,,,,"20250904","20260708",0.01120,,,"24",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Geo_5A_Möh",,,,0,
24,2,2,2,"5A","Jän","BK","Z1",,0,2.60000,,,,"20250904","20260708",0.01040,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_5A_Jän",,,,0,
25,3,3,3,"5A","Möh","Spo","AH",,0,3.75000,,,,"20250904","20260708",0.01480,,,"AH",,,,"Bn",,,,1,1,,,,,0,0,,,,,300000,3.00000,"Spo_5A_Möh",,,,0,
26,3,3,3,"5B","Born","NaWi","Bio1",,0,4.20000,,,,"20250904","20260708",0.01680,,,"Bio1",,,,"Bn",,,,1,1,,,,,0,0,,,,,300000,3.00000,"NaWi_5B_Born",,,,0,
27,2,2,2,"5B","Flo","BK","Z1",,0,2.60000,,,,"20250904","20260708",0.01040,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_5B_Flo",,,,0,
28,5,5,5,"6A","Düs","Spa","32",,0,7.00000,,,,"20250904","20260708",0.02800,,,"32",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 2 Düs",,,,0,
28,5,5,0,"6B","Düs","Spa","32",,0,7.00000,,,,"20250904","20260708",0.02800,,,"32",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 2 Düs",,,,0,
28,5,5,0,"6C","Düs","Spa","32",,0,7.00000,,,,"20250904","20260708",0.02800,,,"32",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 2 Düs",,,,0,
28,5,5,0,"6D","Düs","Spa","32",,0,7.00000,,,,"20250904","20260708",0.02800,,,"32",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 2 Düs",,,,0,
28,5,0,5,"6A","Ben","Spa","23",,0,7.00000,,,,"20250904","20260708",0.02800,,,"23",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 1 Ben",,,,0,
28,5,0,0,"6B","Ben","Spa","23",,0,7.00000,,,,"20250904","20260708",0.02800,,,"23",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 1 Ben",,,,0,
28,5,0,0,"6C","Ben","Spa","23",,0,7.00000,,,,"20250904","20260708",0.02800,,,"23",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 1 Ben",,,,0,
28,5,0,0,"6D","Ben","Spa","23",,0,7.00000,,,,"20250904","20260708",0.02800,,,"23",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 1 Ben",,,,0,
28,5,5,0,"6E","Ben","Spa","23",,0,7.00000,,,,"20250904","20260708",0.02800,,,"23",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Spa 1 Ben",,,,0,
28,5,0,5,"6A","Se","L","58",,0,7.00000,,,,"20250904","20260708",0.02800,,,"58",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 1 Se",,,,0,
28,5,0,0,"6B","Se","L","58",,0,7.00000,,,,"20250904","20260708",0.02800,,,"58",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 1 Se",,,,0,
28,5,0,0,"6C","Se","L","58",,0,7.00000,,,,"20250904","20260708",0.02800,,,"58",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 1 Se",,,,0,
28,5,0,0,"6D","Se","L","58",,0,7.00000,,,,"20250904","20260708",0.02800,,,"58",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 1 Se",,,,0,
28,5,0,0,"6E","Se","L","58",,0,7.00000,,,,"20250904","20260708",0.02800,,,"58",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 1 Se",,,,0,
28,5,0,5,"6A","Woh","L","52",,0,7.00000,,,,"20250904","20260708",0.02800,,,"52",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 2 Woh",,,,0,
28,5,0,0,"6B","Woh","L","52",,0,7.00000,,,,"20250904","20260708",0.02800,,,"52",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 2 Woh",,,,0,
28,5,0,0,"6C","Woh","L","52",,0,7.00000,,,,"20250904","20260708",0.02800,,,"52",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 2 Woh",,,,0,
28,5,0,0,"6D","Woh","L","52",,0,7.00000,,,,"20250904","20260708",0.02800,,,"52",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 2 Woh",,,,0,
28,5,0,0,"6E","Woh","L","52",,0,7.00000,,,,"20250904","20260708",0.02800,,,"52",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Lat 2 Woh",,,,0,
28,5,0,5,"6A","Bre","F","33",,0,7.00000,,,,"20250904","20260708",0.02800,,,"33",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Frz Bre",,,,0,
28,5,0,0,"6B","Bre","F","33",,0,7.00000,,,,"20250904","20260708",0.02800,,,"33",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Frz Bre",,,,0,
28,5,0,0,"6C","Bre","F","33",,0,7.00000,,,,"20250904","20260708",0.02800,,,"33",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Frz Bre",,,,0,
28,5,0,0,"6D","Bre","F","33",,0,7.00000,,,,"20250904","20260708",0.02800,,,"33",,,,"Bn",,,,2,2,,,,,0,0,,,,,500000,5.00000,"6 Frz Bre",,,,0,
